#Artists: id, name, hangul/stylized name, members (female|male|coed), issolo (y|n), id_parentgroup (0 to none), formation date, disband date, social media accounts (semicolon separated list), followers (PHP serialize), followerstop (max followers ever registered)
141,"Minah","방민아","female","y",77,"2015","","K=Bang_Min-ah;I=bbang_93;T=girls_day_minah","a:2:{s:1:"T";s:6:"356611";s:1:"I";s:6:"988756";}",1350215
142,"Miss A","미쓰에이","female","n",0,"2010","2017","K=Miss_A;F=saymissA;T=jypemissa;V=EE9F;VS=5","a:3:{s:1:"T";s:6:"405519";s:1:"F";d:2000000;s:2:"VS";i:1127620;}",3814697
143,"Monsta X","몬스타엑스","male","n",0,"2015","","K=Monsta_X;F=OfficialMonstaX;T=officialmonstax;I=official_monsta_x;V=FE123;VS=18","a:4:{s:2:"VS";i:2259937;s:1:"T";s:7:"2665103";s:1:"F";d:2000000;s:1:"I";s:7:"2859139";}",9784179
144,"Moon Byul + Hwasa","","female","n",138,"","","","",0
145,"Moon Hyuna","문현아","female","y",9,"2017","","I=moongom119;T=moongom119;F=moongom119","a:3:{s:1:"T";s:5:"40500";s:1:"F";d:9624;s:1:"I";s:6:"106769";}",157484
146,"MYNAME","마이네임","male","n",0,"2011","","K=Myname;T=myname_jp;W=www.myname-jp.com;V=EF1203;VS=258","a:2:{s:2:"VS";i:68275;s:1:"T";s:5:"39606";}",108202
147,"Nasty Nasty","","female","n",0,"","","","",0
148,"NCT 127","엔시티","male","n",0,"2016","","K=NCT_(band);W=nct.smtown.com;T=nctsmtown_127;F=NCT.smtown;I=nct;V=F3C16D;VS=183","a:4:{s:2:"VS";i:2155957;s:1:"T";s:7:"1116797";s:1:"F";d:670000;s:1:"I";s:7:"2905151";}",6847905
149,"NCT DREAM","","male","n",148,"2016","","","",0
150,"NCT U","","male","n",149,"","","","",0
151,"NU&#39;EST","뉴이스트","male","n",0,"2012","","K=NU%27EST;T=nuestnews;F=pledisnuest;W=http://www.nuest.co.kr;I=pledisnuest;V=F59133;VS=154","a:4:{s:1:"T";s:6:"665158";s:1:"F";d:8000000;s:1:"I";s:5:"89462";s:2:"VS";i:770004;}",9524624
152,"Oh My Girl","오마이걸","female","n",0,"2015","","K=Oh_My_Girl;Y=UC-qYkzKFdekoEniRu_FS3zg;F=official.ohmygirl;W=www.ohmy-girl.com;I=wm_ohmygirl;V=F51143;VS=162","a:4:{s:2:"VS";i:375499;s:1:"F";d:127000;s:1:"Y";s:6:"190742";s:1:"I";s:6:"459005";}",1152246
153,"Orange Caramel","오렌지 캬라멜","female","n",11,"2010","","K=Orange_Caramel","",0
154,"Park Bom","박봄","female","y",4,"2006","","K=Park_Bom;T=haroobomkum;I=newharoobompark;F=haroobommi21","a:3:{s:1:"T";s:7:"1721077";s:1:"F";d:52612;s:1:"I";s:7:"1847498";}",3632613
155,"Park BoRam","박보람","female","y",0,"2010","","K=Park_Bo-ram;I=ramramram2;F=officialparkboram;W=cafe.daum.net/officialparkboram","a:2:{s:1:"F";d:142000;s:1:"I";s:6:"245176";}",391810
156,"Pristin","프리스틴","female","n",0,"2016","","K=Pristin;F=PLEDISPRISTIN;I=pristin_official_;T=prst_official_;V=EC1263;VS=306","a:4:{s:2:"VS";i:324804;s:1:"T";s:6:"178891";s:1:"F";d:129000;s:1:"I";s:6:"612623";}",1245318
157,"PRODUCE 101","","female","n",0,"","","K=Produce_101","",0
158,"PSY","싸이","male","y",0,"2001","","K=Psy;Y=UCrDkAvwZum-UTjHmzDI2iIw;F=officialpsy;T=psy_oppa;I=42psy42;V=F90C5;VS=99","a:5:{s:2:"VS";i:403305;s:1:"T";s:7:"4499728";s:1:"F";d:5000000;s:1:"Y";s:8:"12382121";s:1:"I";s:6:"609386";}",27311563
159,"Psy + Hyuna","","coed","n",0,"","","","",0
160,"PSY + Snoop Dogg","","male","n",0,"","","","",0
161,"R3hab X f(Amber+Luna)","","coed","n",0,"","","","",0
162,"Rainbow","레인보우","female","n",0,"2009","2016","K=Rainbow_(South_Korean_band);F=Rainbow.DSP;T=rainbow_1114","a:2:{s:1:"T";s:5:"29986";s:1:"F";d:259000;}",292295
163,"rainbow blaxx","","female","n",162,"","","","",0
164,"Rainbow Pixie","","female","n",162,"","","","",0
